gender,sr_cit,tenure,phone_y_n,internet_type,mon_chg,churn
Female,0,71,1,DSL,91.05,0
Female,0,19,1,Fiber optic,89.65,1
Female,0,23,1,DSL,73.65,0
Female,0,30,1,No,19.4,0
Male,0,35,1,No,26.2,0
Female,0,10,1,Fiber optic,98.7,1
Male,0,1,1,DSL,43.85,0
Male,0,22,1,Fiber optic,69.7,0
Male,0,7,0,DSL,38.55,0
Female,0,36,0,DSL,53.1,0
Female,0,34,1,No,20.65,0
Male,0,72,1,DSL,64.45,0
Male,0,36,1,No,25.1,0
Female,0,1,1,Fiber optic,76.35,1
Female,0,23,1,Fiber optic,79.15,1
Male,1,32,1,Fiber optic,85,1
Female,0,71,1,Fiber optic,95.15,0
Female,1,23,1,Fiber optic,79.35,0
Male,0,17,1,Fiber optic,96.65,0
Male,0,1,1,DSL,75.5,0
Male,0,12,1,No,19.7,0
Female,0,72,1,No,20.5,0
Male,0,1,1,No,19.2,0
Male,1,72,1,Fiber optic,98.35,0
Male,0,60,1,Fiber optic,74.35,0
Female,0,61,0,DSL,51.35,0
Female,0,6,1,DSL,45.65,0
Male,1,32,1,Fiber optic,85.3,1
Female,0,31,1,Fiber optic,86.55,1
Male,0,19,1,Fiber optic,73.85,1
Male,0,72,1,No,20.3,0
Female,0,32,1,DSL,54.2,0
Male,0,65,1,Fiber optic,90.65,0
Female,0,45,0,DSL,50.9,0
Male,0,42,1,No,25.05,0
Male,0,8,1,Fiber optic,74.85,0
Male,0,32,1,No,20.5,0
Female,1,22,1,DSL,63.55,0
Male,1,57,0,DSL,44.85,1
Male,0,1,1,DSL,47.95,0
Male,1,1,1,DSL,45.1,1
Female,0,1,1,DSL,45,0
Male,0,24,1,Fiber optic,96,1
Male,0,1,1,No,20.05,1
Male,1,54,1,Fiber optic,90.05,0
Female,0,4,1,No,25.3,0
Male,0,65,1,Fiber optic,108.65,1
Female,0,56,1,No,24.3,0
Male,0,45,1,DSL,75.95,0
Female,0,71,1,No,19.7,0
Male,0,59,1,DSL,66.4,0
Male,0,69,0,DSL,35.75,0
Male,0,19,1,No,18.8,0
Female,0,55,1,No,19.4,0
Female,0,38,1,No,19.3,0
Male,0,10,1,DSL,45.55,1
Female,1,47,1,DSL,67.45,0
Female,0,2,0,DSL,35.1,1
Male,0,1,1,DSL,46.2,1
Female,0,1,1,DSL,45.15,1
Male,1,1,0,DSL,43.3,1
Male,0,46,1,No,20.1,0
Female,1,38,1,DSL,57.15,1
Female,0,65,1,DSL,58.9,0
Female,0,19,1,Fiber optic,73.2,1
Male,0,52,1,Fiber optic,85.35,1
Male,0,71,1,No,19.45,0
Female,0,1,1,DSL,45.95,1
Female,1,52,0,DSL,50.5,0
Male,0,6,1,No,25.1,0
Female,1,26,1,DSL,60.7,0
Male,1,48,1,Fiber optic,99,0
Female,0,64,1,Fiber optic,104.4,0
Female,0,3,1,Fiber optic,83.75,1
Male,0,1,1,DSL,44.05,0
Male,0,72,1,No,24.1,0
Male,0,1,1,DSL,45.55,0
Female,0,51,1,Fiber optic,93.8,0
Female,0,41,1,No,19.7,0
Female,0,72,1,DSL,70.65,0
Female,0,43,1,DSL,86.45,0
Male,0,72,1,Fiber optic,114.1,0
Male,0,47,1,Fiber optic,95.2,0
Male,0,72,1,DSL,88.55,0
Male,0,3,1,No,20.75,0
Male,0,1,1,Fiber optic,70.05,1
Male,0,2,1,Fiber optic,86,1
Male,0,26,0,DSL,44.65,0
Male,0,29,1,DSL,60.2,0
Female,1,35,1,Fiber optic,100.5,1
Male,0,27,1,DSL,55.45,0
Male,0,24,1,DSL,70.3,0
Male,0,67,1,DSL,60.4,0
Female,0,16,1,Fiber optic,72.65,1
Female,0,23,1,DSL,55.8,0
Male,0,14,0,DSL,31.1,0
Female,0,1,1,No,21,1
Female,1,1,1,DSL,45.1,1
Male,1,4,0,DSL,50.95,0
Male,0,16,1,DSL,69.1,0
Female,0,46,0,DSL,43.95,0
Male,0,68,1,DSL,86.5,0
Male,0,38,1,DSL,69.95,0
Male,1,30,1,DSL,50.4,1
Female,1,5,1,Fiber optic,78.95,1
Male,0,17,1,Fiber optic,90.95,0
Male,0,4,1,No,19.9,0
Female,0,12,1,No,20.15,0
Male,0,72,1,DSL,90.6,0
Male,0,3,1,Fiber optic,92,0
Male,0,56,1,Fiber optic,94.45,1
Female,0,41,1,No,24.85,0
Male,0,40,0,DSL,36,0
Female,0,7,1,DSL,78.5,0
Male,0,69,1,No,19.95,0
Male,0,7,1,No,20.65,0
Female,0,5,0,DSL,30.5,0
Female,0,72,1,Fiber optic,106.1,0
Male,0,44,1,No,20.5,0
Female,0,65,1,Fiber optic,95.5,0
Female,0,3,1,DSL,64.6,0
Male,0,24,1,DSL,51.1,0
Female,0,44,1,Fiber optic,84.8,1
Female,1,72,1,DSL,89.1,0
Male,0,24,1,DSL,54.95,0
Male,0,1,1,DSL,50.9,1
Male,0,22,1,No,20.45,0
Male,0,70,1,DSL,85.95,0
Male,0,25,1,DSL,60.35,0
Male,0,37,1,No,19.8,0
Female,1,22,1,Fiber optic,85.35,0
Female,0,59,1,DSL,72.1,0
Male,0,49,1,Fiber optic,99.8,1
Male,0,47,1,Fiber optic,107.35,1
Female,0,31,1,No,19.55,1
Male,0,1,1,Fiber optic,81.05,0
Male,0,3,1,No,20.5,0
Female,0,53,1,Fiber optic,111.8,0
Male,0,1,1,No,20.2,0
Male,0,20,1,No,19.7,0
Female,0,3,1,Fiber optic,79.1,1
Female,0,51,1,No,19.85,0
Female,0,51,1,DSL,60.5,0
Female,0,13,1,No,19.55,0
Female,0,1,1,No,20.9,0
Male,0,1,1,No,21.05,0
Male,0,63,1,DSL,71.5,0
Male,0,3,1,DSL,54.65,0
Male,0,46,1,No,19.2,0
Male,0,1,1,DSL,49.8,0
Male,0,8,0,DSL,25.5,1
Female,0,71,1,No,20.5,0
Male,0,55,1,Fiber optic,90.4,0
Female,0,70,1,Fiber optic,90.25,0
Female,0,2,1,Fiber optic,80.75,1
Male,0,67,1,Fiber optic,104.6,0
Male,0,65,1,Fiber optic,91.85,1
Male,0,14,1,DSL,50.2,0
Female,0,20,1,Fiber optic,95.5,0
Male,0,1,1,Fiber optic,75.35,1
Male,0,1,1,Fiber optic,75.45,1
Female,0,49,1,Fiber optic,95.4,0
Female,0,72,1,Fiber optic,101.3,0
Female,0,46,1,DSL,53.1,0
Male,0,24,1,Fiber optic,84.85,0
Female,0,5,0,DSL,34.25,0
Female,0,33,1,Fiber optic,88.6,0
Female,0,42,1,DSL,60.15,0
Male,0,23,1,Fiber optic,99.95,0
Male,0,8,1,Fiber optic,70.7,0
Male,0,66,1,DSL,54.8,0
Male,0,24,1,DSL,49.55,1
Male,1,24,1,DSL,54.8,0
Male,0,69,1,DSL,78.6,1
Female,0,53,1,Fiber optic,100.3,0
Female,0,60,0,DSL,53.6,0
Female,0,7,1,Fiber optic,81.1,1
Female,0,20,1,No,19.35,0
Female,0,23,1,Fiber optic,85.6,0
Male,0,72,1,DSL,80.8,0
Male,0,11,1,Fiber optic,74.95,1
Male,0,21,1,No,19.6,0
Male,1,1,1,Fiber optic,93.55,1
Male,1,31,1,Fiber optic,90.7,0
Female,0,57,1,DSL,69.75,0
Female,0,45,1,No,20,0
Male,0,10,1,Fiber optic,95.25,0
Female,0,58,1,Fiber optic,102.1,1
Male,0,14,1,No,19.95,0
Male,0,27,1,DSL,80.85,0
Female,0,14,1,Fiber optic,90.9,1
Female,0,12,0,DSL,29.2,1
Female,0,69,1,Fiber optic,93.3,0
Female,0,25,1,Fiber optic,89.15,1
Male,1,58,1,Fiber optic,108.85,1
Female,0,35,0,DSL,46.35,0
Female,1,16,1,Fiber optic,84.75,1
Male,0,45,1,DSL,78.75,0
Female,0,17,1,Fiber optic,83.55,0
Female,0,1,1,DSL,45.7,1
Male,0,22,1,No,19.6,0
Female,1,1,1,Fiber optic,69.95,1
Male,0,67,1,DSL,67.85,0
Female,0,67,1,Fiber optic,105.65,0
Female,0,2,0,DSL,44.6,1
Male,0,23,1,Fiber optic,74.95,1
Female,1,9,1,Fiber optic,75.5,0
Female,0,5,1,No,20.15,0
Male,0,54,0,DSL,45.2,0
Female,0,57,1,Fiber optic,95.25,1
Male,0,24,1,Fiber optic,89.85,1
Female,0,49,1,Fiber optic,100.45,1
Male,0,5,1,DSL,47.15,1
Male,0,2,1,Fiber optic,80.2,1
Female,0,4,1,Fiber optic,87.1,1
Male,0,70,1,DSL,79.25,0
Male,0,5,1,Fiber optic,75.9,1
Male,0,53,1,DSL,85.7,0
Female,0,47,1,Fiber optic,98.75,1
Female,0,31,1,No,20.1,0
Male,0,13,1,DSL,61.8,0
Female,0,28,1,DSL,49.9,0
Female,0,10,1,Fiber optic,86.45,1
Male,0,38,1,No,20.4,0
Female,0,1,1,DSL,45.3,1
Male,0,67,1,Fiber optic,104.1,1
Male,0,52,1,DSL,75.4,0
Male,0,62,1,Fiber optic,108.15,0
Female,0,16,1,Fiber optic,86.25,0
Female,1,5,1,Fiber optic,81,1
Male,0,12,1,Fiber optic,95.7,0
Female,0,72,1,Fiber optic,116.85,0
Male,1,71,1,Fiber optic,105.75,0
Female,0,24,1,No,20.15,0
Female,0,15,1,No,19.6,0
Male,0,67,1,Fiber optic,90.6,1
Male,0,2,1,DSL,60.95,0
Female,0,5,0,DSL,25.05,0
Female,0,15,1,Fiber optic,88.15,1
Male,0,1,1,No,20.2,1
Male,0,41,1,DSL,60.3,0
Female,0,43,1,DSL,63.95,0
Male,1,1,1,Fiber optic,74.3,0
Female,1,1,1,Fiber optic,70.6,0
Female,0,26,1,Fiber optic,90.8,1
Male,0,22,1,Fiber optic,79.35,1
Male,0,71,1,DSL,90.55,0
Male,0,7,1,No,19.45,0
Female,1,28,1,DSL,64.45,0
Male,1,16,1,Fiber optic,69.65,0
Male,0,7,1,No,19.5,0
Female,0,69,1,Fiber optic,110.5,0
Female,0,1,0,DSL,24.7,0
Male,0,3,1,DSL,77.4,0
Male,1,21,1,Fiber optic,96.8,1
Female,0,69,1,Fiber optic,85.4,0
Female,0,71,0,DSL,47.6,0
Female,0,69,1,No,19.4,0
Female,0,48,1,Fiber optic,103.85,0
Male,0,47,1,Fiber optic,83.35,1
Female,0,2,1,DSL,49.4,1
Male,0,45,1,Fiber optic,108.45,0
Male,0,51,1,Fiber optic,81,0
Female,0,22,1,DSL,79.2,1
Male,0,72,1,DSL,86.65,0
Male,0,37,1,Fiber optic,92.95,0
Male,0,71,1,DSL,90.35,0
Male,0,7,1,DSL,48.7,1
Female,0,66,1,No,25.15,0
Male,0,51,1,DSL,76.4,0
Female,0,30,1,No,19.55,0
Female,0,34,1,Fiber optic,85.35,0
Male,0,64,1,No,24.8,0
Male,1,65,1,Fiber optic,103.15,0
Male,0,47,1,Fiber optic,100.75,0
Female,0,1,1,Fiber optic,95.6,1
Female,0,49,1,DSL,59.75,1
Female,0,67,1,Fiber optic,94.1,0
Male,0,39,1,No,19.35,0
Male,0,14,1,No,19.9,0
Female,1,43,1,Fiber optic,108.15,1
Male,1,56,1,Fiber optic,101.05,0
Female,0,14,1,DSL,59.1,0
Female,0,1,1,Fiber optic,71.35,1
Male,0,16,1,DSL,55.85,0
Male,0,70,1,Fiber optic,106.05,0
Male,1,72,1,DSL,84.1,0
Female,0,23,1,Fiber optic,75.3,0
Male,0,21,1,No,24.7,0
Female,0,1,1,No,20.15,1
Male,0,1,1,Fiber optic,69.75,1
Female,1,32,1,Fiber optic,93.2,1
Male,0,17,1,Fiber optic,80.85,1
Female,0,4,0,DSL,33.65,1
Female,0,36,1,DSL,55.8,0
Female,0,50,0,DSL,39.7,0
Female,0,48,0,DSL,29.5,0
Female,0,50,1,No,20.15,0
Male,0,72,1,DSL,79.55,0
Male,0,10,1,No,24.8,0
Female,0,18,1,No,19.65,0
Male,0,1,1,Fiber optic,79.95,1
Female,0,1,1,No,19.3,1
Male,0,9,1,Fiber optic,94.05,0
Male,0,2,1,Fiber optic,90.75,0
Female,0,40,1,Fiber optic,78.85,0
Male,0,69,1,Fiber optic,99.5,0
Female,0,37,1,Fiber optic,99.2,1
Male,0,18,1,Fiber optic,80.55,0
Male,1,11,1,Fiber optic,70.2,0
Female,0,8,1,Fiber optic,85.2,1
Female,0,3,1,Fiber optic,75.25,1
Male,0,55,1,DSL,59.45,0
Male,0,33,1,Fiber optic,93.35,0
Female,0,46,1,DSL,44.95,0
Male,0,34,1,No,26.1,0
Female,0,3,1,No,20.2,0
Male,0,30,1,No,21.25,0
Female,0,33,1,DSL,59.4,0
Male,0,45,1,Fiber optic,95,0
Male,0,40,1,DSL,61.9,0
Female,0,71,1,Fiber optic,118.65,0
Male,0,1,1,DSL,54.35,1
Female,0,72,0,DSL,64.45,0
Female,0,22,1,Fiber optic,80.15,0
Male,0,46,1,No,20.2,0
Female,0,55,1,No,21,0
Male,0,1,1,No,20.45,0
Female,0,12,1,DSL,75.85,0
Male,0,31,1,Fiber optic,80.45,0
Male,0,5,0,DSL,24.95,1
Female,0,67,1,DSL,75.5,0
Male,0,1,1,DSL,44.45,0
Male,0,40,0,DSL,42.35,1
Male,0,41,1,DSL,74.55,0
Male,0,1,1,Fiber optic,75.3,1
Male,0,51,1,Fiber optic,94.8,1
Male,0,42,0,DSL,48.15,0
Male,0,23,1,No,19.65,0
Female,1,1,1,Fiber optic,70.55,1
Female,0,1,1,No,20.15,0
Female,0,56,1,Fiber optic,106.6,0
Male,0,15,1,Fiber optic,91,0
Male,0,12,1,No,25.4,0
Female,0,54,1,DSL,69.95,0
Female,0,7,1,DSL,66.85,0
Female,0,33,1,Fiber optic,86.15,1
Male,0,16,1,No,20.15,0
Female,0,21,1,DSL,64.85,0
Male,1,30,1,DSL,74.85,0
Male,0,3,1,DSL,50.5,0
Male,0,11,1,Fiber optic,72.9,0
Female,0,62,1,Fiber optic,115.05,0
Male,0,18,1,No,19,0
Male,0,6,1,No,19.55,0
Female,0,46,1,Fiber optic,101.1,0
Male,0,21,1,Fiber optic,84.1,0
Male,0,68,1,No,24.15,0
Female,0,1,1,DSL,50.1,0
Female,0,25,1,Fiber optic,74.6,0
Female,0,24,1,No,19.75,0
Female,0,30,1,Fiber optic,85,1
Female,0,2,1,Fiber optic,80.55,1
Male,0,51,1,Fiber optic,106.8,0
Female,0,57,1,DSL,84.5,0
Female,0,15,1,No,25.05,0
Female,0,72,1,DSL,83.7,0
Female,0,2,1,Fiber optic,75.8,1
Male,0,28,1,Fiber optic,96.6,0
Male,1,29,1,Fiber optic,98.5,1
Male,0,70,1,Fiber optic,101.1,0
Female,0,13,1,No,20.2,0
Female,1,59,1,Fiber optic,94.05,0
Male,1,13,1,Fiber optic,95.25,1
Male,1,7,1,Fiber optic,74.4,1
Female,0,62,1,DSL,81,0
Female,0,21,1,DSL,60.25,0
Female,0,2,1,DSL,60.85,0
Female,0,1,1,DSL,43.95,0
Male,0,4,1,Fiber optic,86.05,0
Female,0,19,1,No,20.25,0
Female,0,30,1,Fiber optic,85.15,1
Male,0,67,1,No,19.4,0
Male,1,72,1,Fiber optic,102.65,0
Male,0,53,1,No,19.9,0
Female,0,5,1,No,19.55,0
Male,1,71,1,Fiber optic,95.5,0
Female,0,50,1,DSL,84.15,0
Male,0,56,1,Fiber optic,103.2,0
Male,0,2,1,DSL,50.2,0
Female,1,2,1,Fiber optic,88.55,1
Male,0,24,1,DSL,54.75,1
Male,0,46,1,No,19.95,0
Male,0,71,1,Fiber optic,116.25,0
Female,0,29,0,DSL,31.2,0
Male,0,69,1,No,24.45,0
Male,0,71,1,DSL,84.2,0
Female,1,1,1,Fiber optic,91.3,1
Male,1,56,1,DSL,85.65,0
Male,0,56,1,No,21.2,0
Male,0,1,1,Fiber optic,79.5,1
Female,0,28,1,No,25.55,0
Female,0,19,1,No,20.2,0
Male,0,66,1,DSL,63.85,0
Female,0,17,1,DSL,61.95,0
Male,0,52,1,No,25.75,0
Female,0,19,1,DSL,58.2,0
Female,0,36,1,DSL,85.85,0
Male,1,7,1,Fiber optic,70.1,1
Male,0,72,1,Fiber optic,104.9,0
Male,0,67,1,Fiber optic,111.3,1
Male,1,34,1,Fiber optic,99.85,0
Male,1,57,1,Fiber optic,95.25,1
Female,0,7,1,Fiber optic,86.25,1
Female,1,1,1,Fiber optic,100.8,1
Male,0,8,1,No,19.55,0
Female,0,69,1,Fiber optic,104,0
Female,0,50,1,Fiber optic,104.4,0
Male,0,10,1,No,19.5,0
Female,0,12,1,No,25.25,0
Female,0,14,1,Fiber optic,86.3,1
Female,0,70,0,DSL,49.85,0
Female,1,64,1,Fiber optic,108.95,0
Female,0,66,1,DSL,89.9,0
Female,0,71,1,DSL,82,0
Male,1,20,1,Fiber optic,89.95,0
Male,0,72,1,DSL,79.35,0
Female,0,71,1,DSL,64.05,0
Male,0,38,1,Fiber optic,101.15,0
Female,0,28,1,Fiber optic,89.95,1
Male,1,17,1,Fiber optic,76.45,1
Male,0,33,0,DSL,39.1,0
Female,0,23,0,DSL,34.6,0
Male,0,58,1,No,19.55,0
Female,1,70,1,Fiber optic,104.45,0
Male,0,4,1,Fiber optic,70.5,0
Male,0,45,1,No,20.35,0
Male,0,10,1,Fiber optic,70,1
Male,0,36,1,No,19.45,0
Male,0,54,1,DSL,69.9,0
Male,0,23,1,DSL,59.7,0
Female,0,41,1,DSL,78.35,0
Male,1,5,1,Fiber optic,71.45,0
Male,0,27,0,DSL,45.85,0
Female,0,1,1,Fiber optic,95.85,0
Female,0,67,0,DSL,35.7,0
Female,1,72,1,DSL,89.55,0
Female,0,56,1,No,24.95,0
Male,0,44,1,No,24.85,0
Female,1,66,1,Fiber optic,100.8,0
Female,0,34,1,DSL,64.4,1
Female,0,69,1,Fiber optic,105.35,0
Female,0,1,1,Fiber optic,102.45,1
Female,0,40,1,No,19.65,0
Male,0,30,1,DSL,54.45,0
Female,0,11,1,DSL,70.5,0
Female,0,15,1,No,20.1,0
Male,0,11,1,DSL,69.35,0
Female,0,64,1,No,19.8,0
Male,1,72,1,DSL,74.4,0
Male,1,72,1,Fiber optic,93.05,0
Female,0,1,1,DSL,51.2,0
Female,0,15,1,DSL,65.6,0
Female,0,60,1,DSL,80.55,0
Male,0,56,1,DSL,52.7,0
Female,0,8,1,No,20.85,0
Female,0,3,1,Fiber optic,80.1,1
Female,0,49,1,DSL,52.15,0
Female,0,2,1,Fiber optic,80.2,1
Female,0,6,1,Fiber optic,98.15,1
Male,0,70,1,Fiber optic,114.95,0
Male,0,12,1,Fiber optic,112.95,1
Male,1,52,1,Fiber optic,104.45,0
Female,0,72,1,Fiber optic,113.65,0
Female,0,40,1,No,20.6,0
Female,0,1,1,Fiber optic,70.9,1
Female,1,3,1,Fiber optic,86.85,1
Female,1,40,1,Fiber optic,91.55,0
Male,0,1,1,DSL,49.85,0
Male,0,30,1,No,19.8,0
Male,0,23,1,Fiber optic,99.85,1
Male,0,1,1,Fiber optic,74.5,1
Female,1,44,1,Fiber optic,104.15,0
Male,0,65,1,Fiber optic,109.15,1
Female,1,7,1,DSL,48.2,0
Male,1,72,1,No,25.1,0
Female,1,8,1,Fiber optic,100.15,0
Female,0,16,1,DSL,65.2,1
Male,1,66,1,Fiber optic,99.5,1
Male,0,1,1,Fiber optic,71.55,1
Male,0,3,1,DSL,55.9,0
Male,0,53,1,Fiber optic,93.9,1
Male,1,8,1,DSL,64.4,0
Male,1,69,1,Fiber optic,108.4,1
Female,0,5,1,Fiber optic,85.3,0
Female,0,72,1,Fiber optic,107.45,0
Female,0,13,0,DSL,48.75,1
Female,0,4,1,Fiber optic,85.65,1
Female,0,54,1,DSL,91.3,0
Male,0,72,1,DSL,85.95,0
Male,0,12,1,Fiber optic,106.7,1
Male,0,1,0,DSL,25.15,1
Male,1,1,1,DSL,45.2,0
Female,0,54,1,Fiber optic,110.35,1
Male,0,69,1,Fiber optic,79.2,0
Female,0,48,1,DSL,55.5,0
Female,0,48,1,Fiber optic,103.25,1
Female,0,8,1,Fiber optic,90.25,0
Male,0,71,1,DSL,91.25,0
Male,0,2,1,DSL,47.8,1
Male,0,67,1,Fiber optic,100.9,0
Male,0,34,1,Fiber optic,97.7,0
Female,0,3,1,Fiber optic,69.85,0
Female,0,9,1,DSL,65.6,0
Male,0,71,1,Fiber optic,104.65,0
Male,0,57,1,Fiber optic,90.45,0
Male,0,72,0,DSL,63.7,0
Female,1,48,1,Fiber optic,104.5,0
Male,0,18,1,No,20.1,0
Male,0,43,1,Fiber optic,104.3,0
Female,0,72,1,DSL,93.25,0
Male,0,35,1,DSL,73.45,0
Male,0,4,1,No,20.7,0
Female,0,49,1,No,25.25,0
Female,0,71,1,Fiber optic,100.5,0
Male,0,11,1,Fiber optic,90.6,0
Male,0,63,1,DSL,89.4,0
Female,1,65,1,Fiber optic,95.45,0
Female,0,49,1,No,20.45,0
Female,0,29,1,Fiber optic,98.6,1
Female,1,15,1,Fiber optic,83.05,1
Female,0,4,1,No,19.95,0
Female,0,72,1,Fiber optic,109.15,0
Female,1,26,1,Fiber optic,85.7,0
Female,1,35,1,Fiber optic,102.05,0
Female,0,57,1,Fiber optic,94.7,0
Male,0,28,1,DSL,64.4,0
Female,0,25,1,No,26.8,0
Female,0,47,1,DSL,66.05,0
Female,0,57,1,DSL,65.2,0
Male,1,16,1,Fiber optic,85.05,0
Male,0,5,1,DSL,55.8,0
Male,0,17,1,Fiber optic,70.4,1
Female,1,56,1,Fiber optic,104.75,1
Male,0,72,1,No,19.95,0
Female,1,21,1,Fiber optic,94.25,1
Female,0,48,0,DSL,45,0
Female,0,68,1,Fiber optic,114.9,0
Female,0,30,1,Fiber optic,106.4,0
Female,0,3,1,DSL,46.1,0
Female,1,14,0,DSL,39.7,0
Female,0,4,1,No,20.05,0
Female,0,71,1,Fiber optic,95.75,0
Male,0,8,1,No,24.4,0
Male,0,61,0,DSL,33.6,0
Male,0,72,1,Fiber optic,90.45,0
Female,0,5,1,Fiber optic,84,0
Female,0,49,1,DSL,67.4,0
Male,0,8,1,No,19.7,0
Male,0,3,1,Fiber optic,80.35,0
Male,0,9,1,No,19.6,0
Male,0,67,1,DSL,54.2,0
Male,0,46,1,DSL,45.2,0
Female,0,67,1,DSL,75.1,0
Female,0,55,1,No,19.7,0
Male,0,33,1,DSL,72.75,0
Male,0,62,1,No,20.05,0
Female,0,1,1,DSL,45.95,1
Male,0,49,0,DSL,39.2,0
Male,0,1,1,DSL,44.75,0
Male,0,14,1,Fiber optic,82.65,0
Male,1,18,1,Fiber optic,93.9,0
Female,1,1,1,Fiber optic,70.15,1
Female,0,1,1,Fiber optic,85.55,1
Female,0,72,1,Fiber optic,117.15,0
Male,0,64,1,Fiber optic,99.25,0
Male,0,69,1,Fiber optic,112.55,0
Female,0,1,1,No,25.7,0
Male,0,71,1,DSL,90.3,0
Female,0,66,1,DSL,49.4,0
Male,0,2,1,No,19.4,0
Female,1,71,1,Fiber optic,109.7,0
Male,0,11,1,DSL,61.25,0
Male,0,47,1,DSL,55.3,0
Female,0,35,1,Fiber optic,70.3,1
Male,1,32,1,Fiber optic,106.35,1
Male,0,60,1,Fiber optic,103.75,0
Male,0,11,1,No,19.5,0
Female,0,29,0,DSL,39.5,0
Male,0,21,0,DSL,26.05,0
Male,1,48,1,Fiber optic,91.05,0
Female,0,3,0,DSL,29.65,0
Female,0,43,1,DSL,50.2,0
Male,0,5,1,Fiber optic,105.3,0
Female,0,1,1,DSL,55.45,0
Male,0,71,1,DSL,85.45,0
Female,0,8,1,No,19.8,0
Male,0,8,1,DSL,59.25,0
Male,0,20,1,Fiber optic,90.7,0
Female,0,33,1,Fiber optic,103.7,1
Male,0,71,1,Fiber optic,79.05,0
Female,1,31,1,Fiber optic,90.7,0
Female,1,38,1,Fiber optic,95,0
Male,0,1,1,Fiber optic,88.35,1
Female,0,2,0,DSL,30.25,0
Female,0,12,0,DSL,49.85,0
Female,0,9,1,Fiber optic,93,0
Male,1,11,1,DSL,54.55,0
Male,0,6,1,No,19.7,0
Female,0,71,1,DSL,84.8,0
Female,0,42,1,Fiber optic,94.45,0
Female,0,8,1,Fiber optic,94.2,1
Female,0,5,1,Fiber optic,96.25,1
Female,0,2,1,Fiber optic,70.7,1
Female,0,45,1,No,20.85,0
Male,0,28,0,DSL,60,0
Female,0,43,1,Fiber optic,80.45,0
Male,0,60,1,DSL,84.95,0
Female,0,42,0,DSL,33.55,1
Male,0,7,0,DSL,49.65,0
Female,0,25,1,No,20.2,0
Female,1,40,1,Fiber optic,94.55,1
Male,0,27,1,Fiber optic,100.5,0
Male,0,10,0,DSL,35.75,0
Female,1,27,1,Fiber optic,86.45,0
Female,0,11,1,DSL,53.8,0
Male,0,4,0,DSL,38.55,0
Male,0,68,0,DSL,39.9,0
Male,1,1,1,Fiber optic,70.05,0
Female,0,18,1,No,20.1,0
Female,0,57,1,Fiber optic,112.95,1
Male,0,26,1,No,20.3,0
Female,0,17,0,DSL,35.65,0
Male,0,1,0,DSL,35.9,1
Male,0,38,1,Fiber optic,99.25,1
Male,1,59,1,Fiber optic,82.95,0
Male,0,30,1,DSL,55.65,0
Male,1,2,0,DSL,24.45,1
Female,1,50,1,No,25.2,0
Male,0,9,0,DSL,50.8,0
Female,0,3,1,No,19.65,0
Female,0,14,1,DSL,59.8,0
Female,1,31,1,Fiber optic,73.55,0
Female,0,7,1,DSL,61.4,0
Female,0,8,1,Fiber optic,103.35,1
Male,0,17,1,No,19.9,0
Male,0,32,1,No,19.45,0
Female,1,2,1,Fiber optic,81.5,0
Male,1,7,1,Fiber optic,84.8,1
Female,0,72,1,Fiber optic,109.55,0
Female,1,31,1,Fiber optic,99.95,1
Female,0,27,1,Fiber optic,74.4,0
Female,0,18,1,Fiber optic,90,1
Male,0,7,1,Fiber optic,74.9,0
Female,1,14,1,Fiber optic,104.85,1
Male,0,11,1,DSL,59.65,0
Female,0,72,1,Fiber optic,110.45,0
Male,0,28,1,Fiber optic,106.1,1
Male,1,15,1,Fiber optic,74.2,1
Female,1,4,1,Fiber optic,74.45,0
Female,0,71,1,No,24.55,0
Female,0,5,1,Fiber optic,89.35,1
Male,0,47,1,No,24.55,0
Male,1,57,1,Fiber optic,90.65,0
Male,1,50,1,Fiber optic,105.05,0
Male,0,8,1,No,20.45,0
Female,0,48,1,No,19.55,0
Female,0,70,1,No,19.7,0
Male,0,1,1,DSL,70.45,0
Male,0,8,1,Fiber optic,85.65,0
Female,0,1,1,Fiber optic,77.15,1
Male,0,1,0,DSL,35.25,1
Male,0,60,1,No,20.55,0
Male,0,49,1,Fiber optic,97.95,0
Male,0,4,0,DSL,48.55,1
Female,0,29,1,No,20,0
Female,0,67,1,No,25.25,0
Female,0,53,1,Fiber optic,98.4,1
Male,0,67,1,DSL,70.9,0
Female,0,6,1,No,19.85,0
Female,0,47,1,Fiber optic,106.35,0
Female,0,53,1,Fiber optic,99.5,0
Male,0,69,1,DSL,84.7,0
Male,0,3,1,Fiber optic,86.05,0
Male,0,4,1,DSL,44.55,0
Male,0,56,1,DSL,75.85,0
Male,1,59,1,Fiber optic,93.85,1
Male,1,61,1,No,25,0
Female,0,2,1,DSL,45,0
Male,1,46,1,Fiber optic,100.7,1
Male,0,12,1,No,20.5,0
Female,0,14,1,Fiber optic,80.45,1
Female,0,28,1,Fiber optic,90.45,0
Male,0,24,1,DSL,60.45,0
Male,0,31,1,DSL,55.25,1
Female,0,68,1,DSL,78.45,0
Male,0,39,1,Fiber optic,100.55,0
Female,0,42,1,No,20.35,0
Male,0,13,0,DSL,54.45,1
Female,0,6,1,Fiber optic,90.75,0
Male,0,35,1,Fiber optic,75.35,1
Female,0,38,1,No,20.25,0
Male,0,18,1,No,20.05,0
Female,0,4,1,No,19.6,0
Male,0,27,1,DSL,53.8,0
